Date,Actual_TAVG,Predicted_TAVG,Actual_PRCP,Predicted_PRCP
2024-10-17,11.0,11.110140467328376,0.0,0.04541561683408224
2024-10-18,13.9,13.712326022971718,0.0,0.004844130449392692
2024-10-19,15.0,13.84585085972426,0.0,0.00928115928709472
2024-10-20,18.0,17.405331397759056,0.0,0.04277795123211914
2024-10-21,19.9,19.891193204739793,0.0,-0.04599518186030571
2024-10-22,18.8,18.17101101223259,0.0,0.4256082503914864
2024-10-23,15.2,13.110465138503201,0.0,-0.012607885698631582
2024-10-24,12.5,11.992525595514524,0.0,0.031201557329238794
2024-10-25,13.7,14.727320552851957,12.3,-0.004050847285047565
2024-10-26,10.1,9.79490717553112,0.0,0.07335488314927752
2024-10-27,10.0,9.729216408626922,0.0,0.026132640064670642
2024-10-28,14.3,13.253590305532581,0.0,0.14979853748437943
2024-10-29,23.5,21.822082337088908,0.0,-0.19330613421346166
2024-10-30,23.3,20.945245029552055,0.0,-0.2674097180388324
2024-10-31,15.7,13.413177337607367,11.4,0.40782999710900303
2024-11-01,7.8,8.106195083270439,0.0,0.03750978254730175
2024-11-02,9.6,10.32731036567003,0.0,0.05321033673168185
2024-11-03,14.3,13.869277539877563,0.8,0.6338687615730616
2024-11-04,19.0,19.244170245722245,11.3,1.998994632838086
2024-11-05,18.2,18.694899112899908,30.8,2.8598661064590862
2024-11-06,11.9,13.330535260075896,0.0,0.16155530708361465
2024-11-07,10.9,11.359058621026957,0.0,0.025433223308738873
2024-11-08,11.7,11.850625946800653,0.0,0.0638545179963792
2024-11-09,11.2,10.889866451411052,5.5,0.5369860793521731
2024-11-10,12.9,13.967490343179172,1.2,1.388399957684039
2024-11-11,11.2,11.187173352866857,0.0,-0.02973662849308556
2024-11-12,8.4,7.843139772727699,0.0,0.2915772036392391
2024-11-13,8.4,7.418797607106857,11.0,0.7919838565233132
2024-11-14,11.0,10.735941322924983,3.7,0.7370499390660885
2024-11-15,10.1,9.49691643760407,0.0,0.1348347511389434
2024-11-16,9.7,8.645879056872841,0.0,0.6935613989263971
2024-11-17,11.5,11.32121720773423,5.8,0.6634848570374413
